run;time
32000;3078
64000;5
96000;1358
53000;24
21000;13082
85000;2960
10000;8007
42000;6432
74000;19650
31000;21651
63000;8691
95000;1533
20000;5
52000;5337
84000;7174
41000;894
9000;1429
73000;14
30000;4545
62000;4331
94000;11390
19000;2
51000;2395
83000;6731
8000;1428
40000;4037
72000;59
29000;3368
61000;8816
93000;1894
18000;22708
50000;9753
82000;68
7000;1
39000;5
71000;1510
28000;4764
60000;45
92000;9
17000;11088
49000;5977
81000;13
6000;10036
38000;2399
70000;3874
27000;3
59000;7790
91000;1961
16000;11193
48000;4391
80000;13081
5000;1454
37000;8
69000;21
26000;8895
58000;4925
90000;2295
15000;1153
47000;2981
79000;9575
4000;2
36000;1292
68000;25
25000;4
57000;2469
89000;11
46000;10058
14000;10627
78000;3716
3000;1476
35000;20890
67000;15017
99000;1862
24000;4732
56000;1559
88000;1912
13000;9791
45000;2
77000;4014
2000;0
34000;22305
66000;10078
98000;13
55000;85
23000;8610
87000;822
12000;23135
44000;11870
76000;68
65000;14
1000;0
33000;7424
97000;9
22000;4063
54000;3682
86000;10
11000;9688
43000;10182
75000;64
