run;time
32000;20
64000;5
96000;31
53000;39
21000;4
85000;21
10000;1
42000;6
74000;17
31000;10
63000;7
95000;17
20000;4
52000;7
84000;19
41000;6
9000;1
73000;20
30000;16
62000;7947
94000;25
19000;2
51000;16
83000;28
8000;1
40000;6
72000;41
29000;5
61000;6
93000;27
18000;2
50000;7
82000;45
7000;1
39000;6
71000;12
28000;6
60000;23
92000;9
17000;1499
49000;13415
81000;18
6000;2
38000;5
70000;15
27000;3
59000;7
91000;26
16000;1499
48000;9
80000;17
5000;0
37000;7
69000;22
26000;3
58000;5
90000;31
15000;4510
47000;4142
79000;22
4000;1
36000;6
68000;22
25000;4
57000;9
89000;18
46000;23
14000;3
78000;16
3000;0
35000;5
67000;12
99000;40
24000;4
56000;8
88000;25
13000;2
45000;3
77000;14
2000;1
34000;4
66000;36
98000;18
55000;10
23000;2
87000;27
12000;1
44000;8
76000;42
65000;10
1000;0
33000;5
97000;9
22000;3
54000;9
86000;9
11000;2
43000;4
75000;41
