run;time
32000;1703
64000;137920
96000;22064
53000;5807
21000;9000
85000;14903
10000;184
42000;1781
74000;8597
31000;1662
63000;5528
95000;21898
20000;6125
52000;2860
84000;10734
41000;2591
9000;145
73000;6090
30000;1478
62000;5604
94000;10682
19000;1231
51000;5733
83000;21500
8000;115
40000;9977
72000;19438
29000;1410
61000;5400
93000;16060
18000;662
50000;4462
82000;19472
7000;122
39000;17192
71000;11597
28000;1262
60000;13109
92000;10392
17000;449
49000;2715
81000;17839
6000;4327
38000;2343
70000;5886
27000;52200
59000;14349
91000;21048
16000;420
48000;9823
80000;8994
5000;26
37000;3413
69000;8146
26000;880
58000;9316
90000;15656
15000;399
47000;7004
79000;13315
4000;111
36000;3452
68000;5138
25000;962
57000;8921
89000;23336
46000;10147
14000;2422
78000;14171
3000;13
35000;2470
67000;7074
99000;20236
24000;23940
56000;21835
88000;21051
13000;249
45000;155804
77000;19247
2000;6
34000;5939
66000;9446
98000;11417
55000;8116
23000;1281
87000;12607
12000;274
44000;10246
76000;9377
65000;9721
1000;2
33000;1075
97000;11764
22000;805
54000;7753
86000;10479
11000;258
43000;4052
75000;19483
